Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,total_confirmed,total_deaths,total_recoverd
2021/1/1,IN,India,SEARO,20035,10286709,256,148994,10286709,148994,9883461
2021/1/2,IN,India,SEARO,19079,10305788,224,149218,10305788,149218,9927310
2021/1/3,IN,India,SEARO,18177,10323965,217,149435,10323965,149435,9946867
2021/1/4,IN,India,SEARO,16504,10340469,214,149649,10340469,149649,9975958
2021/1/5,IN,India,SEARO,16375,10356844,201,149850,10356844,149850,9997272
2021/1/6,IN,India,SEARO,18088,10374932,264,150114,10374932,150114,10016859
2021/1/7,IN,India,SEARO,20346,10395278,222,150336,10395278,150336,10037398
2021/1/8,IN,India,SEARO,18139,10413417,234,150570,10413417,150570,10037398
2021/1/9,IN,India,SEARO,18222,10431639,228,150798,10413417,150570,10075950
2021/1/10,IN,India,SEARO,18645,10450284,201,150999,10450284,150999,10092909
2021/1/11,IN,India,SEARO,16311,10466595,161,151160,10466595,151160,10111294
2021/1/12,IN,India,SEARO,12584,10479179,167,151327,10479179,151327,10129111
2021/1/13,IN,India,SEARO,15968,10495147,202,151529,10495147,151529,10146763
2021/1/14,IN,India,SEARO,16946,10512093,198,151727,10512093,151727,10162738
2021/1/15,IN,India,SEARO,15590,10527683,191,151918,10527683,151918,10179715
2021/1/16,IN,India,SEARO,15158,10542841,175,152093,10542841,152093,10196885
2021/1/17,IN,India,SEARO,15144,10557985,181,152274,10557985,152274,10211342
2021/1/18,IN,India,SEARO,13788,10571773,145,152419,10571773,152419,10228753
2021/1/19,IN,India,SEARO,10064,10581837,137,152556,10581823,152556,10245741
2021/1/20,IN,India,SEARO,13823,10595660,162,152718,10595639,152718,10265706
2021/1/21,IN,India,SEARO,15223,10610883,151,152869,10610883,152869,10283702
2021/1/22,IN,India,SEARO,14545,10625428,163,153032,10625428,153032,10300838
2021/1/23,IN,India,SEARO,14256,10639684,152,153184,10639684,153184,10316786
2021/1/24,IN,India,SEARO,14849,10654533,155,153339,10654533,153339,10330084
